X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
6,0.01,0.5,0.2,0.15,1.2021430172940857e+148,1.1254857261724887,0.89
6,0.01,0.5,0.4,0.0,1.469221547274189e+149,13.755334068023233,0.02
6,0.01,0.5,0.4,0.05,1.324914148001189e+148,1.2404280859492196,0.79
6,0.01,0.5,0.4,0.1,1.3833557032336762e+148,1.2951429869911433,0.73
6,0.01,0.5,0.4,0.15,1.4224918609524115e+148,1.3317835416140182,0.69
6,0.01,0.5,0.6,0.0,1.506127774651865e+149,14.1008622749245,0.04
6,0.01,0.5,0.6,0.05,1.5121243038932594e+148,1.4157003748698203,0.66
6,0.01,0.5,0.6,0.1,1.452369341932694e+148,1.3597558193659522,0.68
6,0.01,0.5,0.6,0.15,1.5216456619773276e+148,1.4246145826331502,0.67
6,0.01,0.7,0.05,0.0,1.6905001971625844e+149,15.827017373364791,0.03
6,0.01,0.7,0.05,0.05,1.283884637356893e+148,1.2020149122105908,0.8
6,0.01,0.7,0.05,0.1,1.2542698377222257e+148,1.1742885653510453,0.82
6,0.01,0.7,0.05,0.15,1.2156590426947219e+148,1.1381398725129481,0.88
6,0.01,0.7,0.2,0.0,1.6458045790527664e+149,15.408562335308778,0.02
6,0.01,0.7,0.2,0.05,1.2754685881615388e+148,1.1941355308858481,0.82
6,0.01,0.7,0.2,0.1,1.2944567208234232e+148,1.2119128435434754,0.83
6,0.01,0.7,0.2,0.15,1.2743632792728246e+148,1.1931007044472606,0.82
6,0.01,0.7,0.4,0.0,1.561095571598828e+149,14.615488820792631,0.03
6,0.01,0.7,0.4,0.05,1.4134958655595745e+148,1.323361195635466,0.73
6,0.01,0.7,0.4,0.1,1.3067140593761512e+148,1.2233885659687584,0.82
6,0.01,0.7,0.4,0.15,1.3042407602531072e+148,1.2210729821991946,0.81
6,0.01,0.7,0.6,0.0,4.775194316702627e+148,4.470693557947964,0.06
6,0.01,0.7,0.6,0.05,1.5528911331919398e+148,1.4538676177160603,0.65
6,0.01,0.7,0.6,0.1,1.0876784860719856e+148,1.0183202773114377,0.98
6,0.01,0.7,0.6,0.15,1.4259067184454146e+148,1.3349806432150735,0.82
6,0.03,0.1,0.05,0.0,1.068110407212618e+148,1.0000000000000002,1.0
6,0.03,0.1,0.05,0.05,1.5015233203457425e+149,14.057753863331186,0.04
6,0.03,0.1,0.05,0.1,1.5345878537611282e+149,14.367314871183101,0.04
6,0.03,0.1,0.05,0.15,1.252373849586099e+149,11.72513479064718,0.02
6,0.03,0.1,0.2,0.0,1.4170641757945579e+149,13.267019647272077,0.05
