X,cac_dt,mu,r,noise,mean_norm,eff,p_opt
3,0.01,0.7,0.6,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.01,0.7,0.6,0.1,5.103713013434648e+147,1.019617816206953,0.99
3,0.01,0.7,0.6,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.05,0.0,4.0670785877227914e+148,8.125193906945903,0.27
3,0.03,0.1,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.2,0.0,4.79649753916199e+148,9.582424273168813,0.2
3,0.03,0.1,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.4,0.0,4.456133667776814e+148,8.90244664444249,0.29
3,0.03,0.1,0.4,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.4,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.4,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.6,0.0,4.775111527668197e+148,9.539699381939078,0.24
3,0.03,0.1,0.6,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.6,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.1,0.6,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.05,0.0,3.8177953425967925e+148,7.62717680186322,0.35
3,0.03,0.3,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.2,0.0,4.6007017018941107e+148,9.191264105087306,0.26
3,0.03,0.3,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.4,0.0,4.2199110993044543e+148,8.430522108774886,0.27
3,0.03,0.3,0.4,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.4,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.4,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.6,0.0,4.935634608618342e+148,9.86039177357309,0.21
3,0.03,0.3,0.6,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.6,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.3,0.6,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.05,0.0,4.1267621710363686e+148,8.244429539359807,0.29
3,0.03,0.5,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.2,0.0,4.2206763100989676e+148,8.432050843947076,0.35
3,0.03,0.5,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.2,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.2,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.4,0.0,4.8703896153209787e+148,9.730045577756085,0.24
3,0.03,0.5,0.4,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.4,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.4,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.6,0.0,4.687524009383898e+148,9.3647173759271,0.21
3,0.03,0.5,0.6,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.6,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.5,0.6,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.05,0.0,4.8796354359782696e+148,9.748516842583893,0.17
3,0.03,0.7,0.05,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.05,0.1,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.05,0.15,5.0055157259028734e+147,1.0000000000000002,1.0
3,0.03,0.7,0.2,0.0,5.277146296195288e+148,10.542662505057699,0.24
3,0.03,0.7,0.2,0.05,5.0055157259028734e+147,1.0000000000000002,1.0
