pivot_dt,pivot_mu,pivot_r,pivot_sig,best_dt,best_mu,best_r,best_sig,inv_eff,mean_norm
0.04818181818181819,0.5,0.6,0.0,0.020909090909090912,0.5,0.6,0.05,0.9837585192076403,4.295636761374665e+147
0.04818181818181819,0.5,0.6,0.05,0.04818181818181819,0.5,0.6,0.05,0.9990297880199903,4.2299732301268334e+147
0.04818181818181819,0.5,0.6,0.1,0.04272727272727273,0.5,0.6,0.1,0.03807559344627774,1.109863005913822e+149
0.04818181818181819,0.5,0.6,0.15,0.04818181818181819,0.5,0.6,0.15,0.9990297880199903,4.2299732301268334e+147
0.04818181818181819,0.7,0.05,0.0,0.03727272727272728,0.7,0.05,0.0,0.0860690020112468,4.9098620417042154e+148
0.04818181818181819,0.7,0.05,0.05,0.04818181818181819,0.7,0.05,0.05,1.0,4.225869259423844e+147
0.04818181818181819,0.7,0.05,0.1,0.04818181818181819,0.7,0.05,0.1,1.0,4.225869259423844e+147
0.04818181818181819,0.7,0.05,0.15,0.04818181818181819,0.7,0.05,0.15,1.0,4.225869259423844e+147
0.04818181818181819,0.7,0.2,0.0,0.03727272727272728,0.7,0.2,0.0,0.14936422324846443,2.829237930956327e+148
0.04818181818181819,0.7,0.2,0.05,0.04818181818181819,0.7,0.2,0.05,1.0,4.225869259423844e+147
0.04818181818181819,0.7,0.2,0.1,0.04818181818181819,0.7,0.2,0.1,1.0,4.225869259423844e+147
0.04818181818181819,0.7,0.2,0.15,0.04818181818181819,0.7,0.2,0.15,1.0,4.225869259423844e+147
0.04818181818181819,0.7,0.4,0.0,0.04818181818181819,0.7,0.4,0.0,0.03815531186104543,1.1075441539604438e+149
0.04818181818181819,0.7,0.4,0.05,0.04818181818181819,0.7,0.4,0.05,1.0,4.225869259423844e+147
0.04818181818181819,0.7,0.4,0.1,0.04818181818181819,0.7,0.4,0.1,0.9996763866909906,4.227237249658174e+147
0.04818181818181819,0.7,0.4,0.15,0.03181818181818182,0.7,0.4,0.15,0.03738318251805239,1.1304198772758757e+149
0.04818181818181819,0.7,0.6,0.0,0.04272727272727273,0.7,0.6,0.0,0.04126375583596538,1.0241116383643846e+149
0.04818181818181819,0.7,0.6,0.05,0.03727272727272728,0.7,0.6,0.05,0.9951676935464008,4.246389112938792e+147
0.04818181818181819,0.7,0.6,0.1,0.04818181818181819,0.7,0.6,0.1,0.9990297880199903,4.2299732301268334e+147
0.04818181818181819,0.7,0.6,0.15,0.04818181818181819,0.7,0.6,0.15,0.03960136200229962,1.067101999971226e+149
