X,valid_outputs,min_mc_norm,max_mc_norm,best_cim_norm,mean_cim_norm,best_percentile_uniform,mean_percentile_uniform_of_mean,modal_norm,peak_prob,log_skew,log_kurt,quantile_10,quantile_25,quantile_50,quantile_75,quantile_90,within_1.0x_min_mc,within_1.1x_min_mc,within_1.5x_min_mc,within_2.0x_min_mc
12,38800,9.614026176234537e+146,2.507205540375659e+150,9.614026176788523e+146,6.281395629106174e+149,0.0003333333333333333,0.48643333333333333,1.6100886804726768e+148,0.03644329896907216,-1.2599435210022747,0.9152653532949144,1.6472376716461612e+148,1.492062985164618e+149,5.066302550753087e+149,9.775386785345749e+149,1.4528160337053153e+150,0.0,0.01193298969072165,0.01193298969072165,0.01193298969072165
13,38800,1.6704017572610013e+146,3.1295669080557353e+150,1.67040175741258e+146,4.6652833725682886e+147,0.0002,0.0037,1.7117131216880417e+146,0.0561340206185567,-0.40375187855555966,-0.8779613990511246,2.5944218281170735e+146,5.44102618306491e+146,3.367276762571928e+147,5.822232659057522e+147,1.00593927620187e+148,0.0,0.0561340206185567,0.0561340206185567,0.11010309278350515
14,38800,1.3698439650884787e+144,3.881893327237758e+150,1.3698753036497312e+144,2.5510980281347887e+149,6.666666666666667e-05,0.1441,2.913897866205576e+147,0.0561340206185567,-0.22450664301069725,0.5796858543789605,9.513927523801627e+146,2.949602318258007e+147,9.441296435308609e+147,1.4994606910952123e+149,9.935150375667738e+149,0.0,0.014664948453608247,0.014664948453608247,0.014664948453608247
15,38800,1.0531358255531732e+146,4.683647201869257e+150,1.0531358245640883e+146,4.868238917813682e+147,0.0,0.0025666666666666667,2.4617612747531645e+147,0.045695876288659794,-0.7677898898216622,0.5380283302509379,5.684710333359277e+146,1.644398963559015e+147,3.3655388389266385e+147,7.249549300849997e+147,1.1037840199660671e+148,0.024149484536082476,0.024149484536082476,0.024149484536082476,0.024149484536082476
16,38800,6.693847458357113e+145,5.538807991923048e+150,6.6938474055273e+145,5.688158287671569e+148,0.0,0.0241,9.323588426620854e+147,0.04298969072164949,0.4026492512754338,2.076088386553229,1.30105176027453e+147,3.535049944255981e+147,8.53459922138845e+147,1.8280759324647454e+148,4.297908944031424e+148,0.005128865979381443,0.005128865979381443,0.010592783505154638,0.010592783505154638
17,38800,6.060070884108772e+144,6.4721440755019146e+150,6.060135287898289e+144,1.4015644979202296e+150,3.3333333333333335e-05,0.5047333333333334,2.2913554382203374e+150,0.04469072164948454,-1.694029103169918,2.7523044217914148,3.0841532367091127e+148,3.429269187187291e+149,1.1273793380375688e+150,2.17974355551286e+150,3.1936167913122336e+150,0.0,0.0004896907216494845,0.0004896907216494845,0.0004896907216494845
18,38800,4.166509053956109e+146,7.329133047410206e+150,1.3017066869459973e+145,1.0173047093502688e+148,0.0,0.0033,9.178196419931678e+147,0.03172680412371134,-1.206557364286188,2.5214241619415922,9.461151906820514e+146,2.819201268103885e+147,6.663465801647398e+147,1.39059606542102e+148,2.372568940738769e+148,0.03713917525773196,0.043608247422680414,0.06652061855670104,0.09108247422680413
19,38800,6.397759163501861e+145,8.286931784212018e+150,1.4846563123351061e+145,3.083674717105346e+149,0.0,0.09566666666666666,8.12433811142832e+147,0.03229381443298969,0.757701964753723,0.40397899024664374,1.3434504363564264e+147,3.910670907402985e+147,1.0443408395717641e+148,3.059399802674439e+148,1.077987547952069e+150,0.003943298969072165,0.0047680412371134025,0.007216494845360825,0.008762886597938144
20,38800,2.1987965275844476e+146,9.178734097230674e+150,1.8980508028985647e+143,3.781128464019024e+149,0.0,0.10723333333333333,6.052701879962454e+147,0.03860824742268041,0.6684636767288876,0.26265439067154395,8.589097079640054e+146,2.5560987142512693e+147,7.064962191886343e+147,2.422284499101485e+148,1.4239521053744824e+150,0.027835051546391754,0.029407216494845363,0.03734536082474227,0.05422680412371134
21,38800,1.5535769940828517e+146,1.0189142283945404e+151,9.92399339356957e+144,4.908706069171826e+149,0.0,0.1329,1.4656336010802518e+148,0.027989690721649484,0.480896492570051,-0.32671954951024285,2.653368861399851e+147,7.502323107150781e+147,2.163449762728759e+148,1.1837862129426424e+149,1.963870361605489e+150,0.0047680412371134025,0.005489690721649484,0.008814432989690722,0.010773195876288659
