pivot_dt,pivot_mu,pivot_r,pivot_sig,best_dt,best_mu,best_r,best_sig,inv_eff,mean_norm
0.043846153846153854,0.1,0.05,0.15,0.043846153846153854,0.1,0.05,0.15,1.0,4.225869259423844e+147
0.043846153846153854,0.1,0.2,0.0,0.043846153846153854,0.1,0.2,0.0,0.15490755575690993,2.727994279410959e+148
0.043846153846153854,0.1,0.2,0.05,0.043846153846153854,0.1,0.2,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.1,0.2,0.1,0.043846153846153854,0.1,0.2,0.1,1.0,4.225869259423844e+147
0.043846153846153854,0.1,0.2,0.15,0.043846153846153854,0.1,0.2,0.15,0.9884803972622754,4.275116907859717e+147
0.043846153846153854,0.1,0.4,0.0,0.043846153846153854,0.1,0.2,0.0,1.0,4.225869259423844e+147
0.043846153846153854,0.1,0.4,0.05,0.043846153846153854,0.1,0.4,0.05,0.05013814553849185,8.428451459537085e+148
0.043846153846153854,0.1,0.4,0.1,0.04230769230769232,0.1,0.4,0.1,0.10025317253395095,4.215197537008362e+148
0.043846153846153854,0.1,0.4,0.15,0.043846153846153854,0.1,0.2,0.15,0.03905697333172469,1.0819756112518094e+149
0.043846153846153854,0.1,0.6,0.0,0.04230769230769232,0.1,0.6,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.1,0.6,0.05,0.043846153846153854,0.1,0.6,0.05,0.9987068022519696,4.231341220361163e+147
0.043846153846153854,0.1,0.6,0.1,0.043846153846153854,0.1,0.6,0.1,0.04018981323687769,1.0514777051878005e+149
0.043846153846153854,0.1,0.6,0.15,0.043846153846153854,0.1,0.6,0.15,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.05,0.0,0.043846153846153854,0.3,0.05,0.0,0.06775175813651095,6.237283541645177e+148
0.043846153846153854,0.3,0.05,0.05,0.043846153846153854,0.3,0.05,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.05,0.1,0.043846153846153854,0.3,0.05,0.1,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.05,0.15,0.043846153846153854,0.3,0.05,0.15,0.04196509370600783,1.0069962643307188e+149
0.043846153846153854,0.3,0.2,0.0,0.04538461538461539,0.1,0.2,0.0,0.046990475598221185,8.99303360016176e+148
0.043846153846153854,0.3,0.2,0.05,0.043846153846153854,0.3,0.2,0.05,0.9859564358272906,4.286060829734354e+147
0.043846153846153854,0.3,0.2,0.1,0.043846153846153854,0.3,0.2,0.1,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.2,0.15,0.04230769230769232,0.3,0.2,0.15,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.4,0.0,0.04538461538461539,0.3,0.4,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.4,0.05,0.043846153846153854,0.3,0.4,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.4,0.1,0.043846153846153854,0.3,0.4,0.1,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.4,0.15,0.04230769230769232,0.3,0.4,0.15,1.0,4.225869259423844e+147
0.043846153846153854,0.3,0.6,0.0,0.043846153846153854,0.3,0.6,0.05,0.9987068022519696,4.231341220361163e+147
0.043846153846153854,0.3,0.6,0.05,0.043846153846153854,0.3,0.6,0.05,0.996130415033039,4.2422851422358016e+147
0.043846153846153854,0.3,0.6,0.1,0.043846153846153854,0.3,0.6,0.1,0.9987068022519696,4.231341220361163e+147
0.043846153846153854,0.3,0.6,0.15,0.043846153846153854,0.3,0.6,0.15,0.10600436410363462,3.986504985108391e+148
0.043846153846153854,0.5,0.05,0.0,0.04230769230769232,0.3,0.05,0.0,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.05,0.05,0.043846153846153854,0.5,0.05,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.05,0.1,0.043846153846153854,0.5,0.05,0.1,0.035608271002510856,1.1867662035951884e+149
0.043846153846153854,0.5,0.05,0.15,0.043846153846153854,0.5,0.05,0.15,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.2,0.0,0.043846153846153854,0.5,0.2,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.2,0.05,0.043846153846153854,0.5,0.2,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.2,0.1,0.043846153846153854,0.5,0.2,0.1,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.2,0.15,0.043846153846153854,0.5,0.2,0.15,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.4,0.0,0.04538461538461539,0.5,0.4,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.4,0.05,0.043846153846153854,0.5,0.4,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.4,0.1,0.043846153846153854,0.5,0.4,0.1,0.9987068022519696,4.231341220361163e+147
0.043846153846153854,0.5,0.4,0.15,0.043846153846153854,0.5,0.4,0.15,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.6,0.0,0.043846153846153854,0.5,0.6,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.5,0.6,0.05,0.043846153846153854,0.5,0.6,0.05,0.9974169449049713,4.236813181298482e+147
0.043846153846153854,0.5,0.6,0.1,0.043846153846153854,0.5,0.6,0.1,0.9961304150330389,4.242285142235802e+147
0.043846153846153854,0.5,0.6,0.15,0.043846153846153854,0.5,0.6,0.15,0.9987068022519696,4.231341220361163e+147
0.043846153846153854,0.7,0.05,0.0,0.04230769230769232,0.5,0.2,0.0,0.15799014572357936,2.6747676192523134e+148
0.043846153846153854,0.7,0.05,0.05,0.043846153846153854,0.7,0.05,0.05,0.08640266960800126,4.890901263347667e+148
0.043846153846153854,0.7,0.05,0.1,0.043846153846153854,0.7,0.05,0.1,1.0,4.225869259423844e+147
0.043846153846153854,0.7,0.05,0.15,0.043846153846153854,0.7,0.05,0.15,0.04304046217618578,9.818364036439206e+148
0.043846153846153854,0.7,0.2,0.0,0.048461538461538466,0.7,0.2,0.0,0.03620722601006551,1.167134222944631e+149
0.043846153846153854,0.7,0.2,0.05,0.043846153846153854,0.7,0.2,0.05,0.9987068022519696,4.231341220361163e+147
0.043846153846153854,0.7,0.2,0.1,0.043846153846153854,0.7,0.2,0.1,0.10624703134203849,3.977399844537402e+148
0.043846153846153854,0.7,0.2,0.15,0.043846153846153854,0.7,0.2,0.15,1.0,4.225869259423844e+147
0.043846153846153854,0.7,0.4,0.0,0.04230769230769232,0.7,0.4,0.0,0.0799773859656126,5.28383018324807e+148
0.043846153846153854,0.7,0.4,0.05,0.043846153846153854,0.7,0.4,0.05,1.0,4.225869259423844e+147
0.043846153846153854,0.7,0.4,0.1,0.043846153846153854,0.7,0.4,0.1,1.0,4.225869259423844e+147
0.043846153846153854,0.7,0.4,0.15,0.043846153846153854,0.7,0.4,0.15,0.044603238661655845,9.4743551953251e+148
0.043846153846153854,0.7,0.6,0.0,0.043846153846153854,0.7,0.6,0.0,0.0383679974309386,1.1014046972428777e+149
0.043846153846153854,0.7,0.6,0.05,0.043846153846153854,0.7,0.6,0.05,0.9987068022519696,4.231341220361163e+147
0.043846153846153854,0.7,0.6,0.1,0.04230769230769232,0.7,0.6,0.1,0.9961304150330389,4.242285142235802e+147
0.043846153846153854,0.7,0.6,0.15,0.043846153846153854,0.7,0.6,0.15,0.9987068022519696,4.231341220361163e+147
0.04538461538461539,0.1,0.05,0.0,0.04692307692307693,0.1,0.2,0.0,0.03627038167105891,1.1651019550190663e+149
0.04538461538461539,0.1,0.05,0.05,0.04538461538461539,0.1,0.05,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.1,0.05,0.1,0.04538461538461539,0.1,0.05,0.1,1.0,4.225869259423844e+147
0.04538461538461539,0.1,0.05,0.15,0.04538461538461539,0.1,0.05,0.15,0.04027699854055577,1.0492016318367731e+149
0.04538461538461539,0.1,0.2,0.0,0.04538461538461539,0.1,0.2,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.1,0.2,0.05,0.04538461538461539,0.1,0.2,0.05,0.04324647607802245,9.771592144987279e+148
0.04538461538461539,0.1,0.2,0.1,0.04538461538461539,0.1,0.2,0.1,0.04216961014305867,1.0021124798374365e+149
0.04538461538461539,0.1,0.2,0.15,0.04538461538461539,0.1,0.2,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.1,0.4,0.0,0.04538461538461539,0.1,0.4,0.0,0.05999295875364704,7.04394206789634e+148
0.04538461538461539,0.1,0.4,0.05,0.04538461538461539,0.1,0.4,0.05,1.0,4.225869259423844e+147
0.04538461538461539,0.1,0.4,0.1,0.04538461538461539,0.1,0.4,0.1,0.039492433055497524,1.0700453055108957e+149
0.04538461538461539,0.1,0.4,0.15,0.04538461538461539,0.1,0.4,0.15,1.0,4.225869259423844e+147
0.04538461538461539,0.1,0.6,0.0,0.043846153846153854,0.1,0.6,0.0,0.06618072181714167,6.385347792216567e+148
0.04538461538461539,0.1,0.6,0.05,0.04538461538461539,0.1,0.6,0.05,0.9987068022519696,4.231341220361163e+147
0.04538461538461539,0.1,0.6,0.1,0.04538461538461539,0.1,0.6,0.1,0.9987068022519696,4.231341220361163e+147
0.04538461538461539,0.1,0.6,0.15,0.04538461538461539,0.1,0.6,0.15,0.03670228068629555,1.1513914613490934e+149
0.04538461538461539,0.3,0.05,0.0,0.05000000000000001,0.3,0.05,0.0,0.043596727432466884,9.693088239180082e+148
0.04538461538461539,0.3,0.05,0.05,0.04538461538461539,0.3,0.05,0.05,1.0,4.225869259423844e+147
